customer_id,customer_name,city,signup_date
1,Arjun Sharma,Kolkata,2024-10-08
2,Vivek Singh,Kozhikode,2026-01-24
3,Arjun Verma,Kochi,2025-08-27
4,Meera Nair,Thiruvananthapuram,2024-04-05
5,Kiran Singh,Mumbai,2025-09-08
6,Aarav Verma,Kollam,2026-01-03
7,Kavya Gupta,Kollam,2025-04-04
8,Pooja Das,Ahmedabad,2026-06-09
9,Aarav Reddy,Kolkata,2025-03-08
10,Ananya Das,Kozhikode,2024-08-08
11,Ananya Iyer,Kochi,2025-01-24
12,Arjun Joseph,Jaipur,2024-12-18
13,Anjali Das,Ahmedabad,2024-02-14
14,Priya Verma,Kochi,2026-08-02
15,Isha Menon,Mumbai,2024-10-27
16,Anjali Joseph,Pune,2024-07-15
17,Aditya Nair,Delhi,2024-08-21
18,Sanjay Menon,Jaipur,2024-08-26
19,Arjun Thomas,Thrissur,2025-04-09
20,Diya Reddy,Bengaluru,2024-12-29
21,Kiran Das,Kolkata,2026-08-17
22,Aditya Chopra,Delhi,2024-06-24
23,Kavya Singh,Kozhikode,2025-04-18
24,Isha Das,Coimbatore,2025-10-17
25,Kavya Singh,Delhi,2024-11-28
26,Vivaan Singh,Jaipur,2024-02-02
27,Ananya Thomas,Thrissur,2024-03-08
28,Kiran Shah,Coimbatore,2026-01-05
29,Ananya Kumar,Delhi,2025-05-26
30,Isha Mishra,Kozhikode,2024-09-28
31,Rahul Singh,Kolkata,2025-07-28
32,Kavya Das,Kolkata,2025-08-21
33,Meera Shah,Chennai,2025-01-05
34,Vivek Patel,Mumbai,2025-05-20
35,Aditya Nair,Jaipur,2024-04-22
36,Rahul Reddy,Ahmedabad,2025-11-27
37,Meera Chopra,Kochi,2025-01-29
38,Isha Chopra,Hyderabad,2025-06-25
39,Nikhil Verma,Jaipur,2026-08-23
40,Aarav Iyer,Delhi,2026-06-25
41,Kavya Das,Ahmedabad,2025-10-18
42,Ananya Iyer,Thrissur,2025-03-21
43,Rohan Mishra,Thiruvananthapuram,2026-01-09
44,Nikhil Bhat,Ahmedabad,2024-07-01
45,Neha Iyer,Jaipur,2025-10-02
46,Sanjay Bhat,Pune,2024-07-22
47,Rahul Joseph,Ahmedabad,2024-06-14
48,Kavya Bhat,Coimbatore,2024-01-01
49,Anjali Varma,Hyderabad,2024-01-20
50,Arjun Joseph,Coimbatore,2026-05-01
51,Sanjay Singh,Thiruvananthapuram,2024-09-03
52,Pooja Menon,Kochi,2026-01-19
53,Sneha Menon,Ahmedabad,2025-06-29
54,Rahul Patel,Delhi,2025-05-01
55,Kavya Reddy,Thrissur,2025-06-24
56,Anjali Gupta,Kollam,2026-08-09
57,Kavya Kumar,Kolkata,2024-11-15
58,Isha Joseph,Hyderabad,2026-07-10
59,Neha Mishra,Kochi,2024-09-10
60,Vivek Menon,Bengaluru,2024-01-22
61,Pooja Verma,Kollam,2025-08-25
62,Vivek Sharma,Kochi,2025-12-25
63,Vivaan Singh,Kochi,2026-07-16
64,Vivaan Varma,Kochi,2025-06-10
65,Vivek Das,Delhi,2025-05-12
66,Kiran Verma,Kozhikode,2026-01-10
67,Pooja Shah,Hyderabad,2024-09-05
68,Sneha Gupta,Kollam,2024-04-06
69,Arjun Gupta,Bengaluru,2025-03-09
70,Meera Mishra,Jaipur,2026-01-16
71,Vivaan Iyer,Thiruvananthapuram,2025-02-16
72,Ananya Iyer,Kollam,2024-07-15
73,Kiran Verma,Hyderabad,2024-05-23
74,Meera Reddy,Thrissur,2025-04-18
75,Vivek Menon,Hyderabad,2026-04-07
76,Kavya Iyer,Thiruvananthapuram,2025-10-29
77,Kavya Sharma,Kochi,2026-08-06
78,Vivek Reddy,Chennai,2025-05-12
79,Sneha Kumar,Jaipur,2025-02-14
80,Vivaan Reddy,Chennai,2024-01-03
81,Isha Das,Coimbatore,2026-03-13
82,Priya Pillai,Chennai,2025-12-14
83,Kavya Rao,Kozhikode,2024-07-13
84,Sanjay Kumar,Thiruvananthapuram,2025-08-16
85,Kavya Nair,Kolkata,2024-11-17
86,Vivaan Nair,Pune,2025-05-03
87,Neha Bhat,Kozhikode,2024-02-28
88,Neha Menon,Jaipur,2024-07-09
89,Aditya Chopra,Kochi,2025-11-22
90,Vivek Thomas,Kochi,2026-08-22
91,Pooja Singh,Pune,2025-08-31
92,Vivaan Chopra,Kochi,2025-03-05
93,Pooja Shah,Mumbai,2024-11-19
94,Nikhil Kumar,Delhi,2026-01-03
95,Ananya Singh,Thrissur,2025-02-09
96,Rahul Pillai,Hyderabad,2024-11-19
97,Aditya Sharma,Hyderabad,2025-09-28
98,Pooja Iyer,Kochi,2025-07-04
99,Kiran Bhat,Thrissur,2024-05-15
100,Diya Menon,Coimbatore,2024-09-07
101,Diya Pillai,Kozhikode,2025-03-24
102,Kavya Pillai,Pune,2026-04-06
103,Neha Sharma,Delhi,2026-04-16
104,Kavya Pillai,Coimbatore,2025-11-10
105,Arjun Patel,Thrissur,2024-04-28
106,Arjun Verma,Kozhikode,2024-10-05
107,Sanjay Chopra,Kollam,2026-01-04
108,Ananya Kumar,Delhi,2025-10-11
109,Nikhil Bhat,Hyderabad,2024-09-14
110,Vivaan Menon,Delhi,2025-03-09
111,Nikhil Nair,Thiruvananthapuram,2024-12-07
112,Rahul Das,Kozhikode,2026-01-29
113,Priya Verma,Kolkata,2025-03-13
114,Kavya Sharma,Kochi,2024-03-18
115,Rahul Verma,Thiruvananthapuram,2026-05-04
116,Diya Shah,Mumbai,2024-05-31
117,Meera Patel,Thiruvananthapuram,2024-11-11
118,Diya Nair,Coimbatore,2025-01-01
119,Kiran Singh,Delhi,2024-04-15
120,Diya Verma,Coimbatore,2026-06-14
121,Meera Chopra,Kolkata,2024-06-07
122,Vivek Reddy,Ahmedabad,2026-04-10
